X,Y,Z
89.441,102.734,0.2
89.441,102.734,0.2
90.318,102.521,0.2
90.318,102.521,0.2
91.211,102.386,0.2
91.211,102.386,0.2
92.097,102.332,0.2
92.097,102.332,0.2
93.214,102.313,0.2
93.214,102.313,0.2
141.99,102.313,0.2
141.99,102.313,0.2
142.821,102.324,0.2
142.821,102.324,0.2
143.722,102.377,0.2
143.722,102.377,0.2
144.616,102.51,0.2
144.616,102.51,0.2
145.185,102.638,0.2
145.185,102.638,0.2
145.708,102.771,0.2
145.708,102.771,0.2
146.572,103.032,0.2
146.572,103.032,0.2
147.41,103.368,0.2
147.41,103.368,0.2
148.215,103.778,0.2
148.215,103.778,0.2
148.981,104.257,0.2
148.981,104.257,0.2
149.701,104.801,0.2
149.701,104.801,0.2
150.252,105.293,0.2
150.252,105.293,0.2
150.638,105.663,0.2
150.638,105.663,0.2
151.262,106.316,0.2
151.262,106.316,0.2
151.825,107.021,0.2
151.825,107.021,0.2
152.324,107.774,0.2
152.324,107.774,0.2
152.754,108.568,0.2
152.754,108.568,0.2
153.113,109.397,0.2
153.113,109.397,0.2
153.376,110.184,0.2
153.376,110.184,0.2
153.526,110.701,0.2
153.526,110.701,0.2
153.739,111.578,0.2
153.739,111.578,0.2
153.874,112.471,0.2
153.874,112.471,0.2
153.928,113.357,0.2
153.928,113.357,0.2
153.947,114.474,0.2
153.947,114.474,0.2
153.946,120.837,0.2
153.946,120.837,0.2
153.936,121.554,0.2
153.936,121.554,0.2
153.883,122.456,0.2
153.883,122.456,0.2
153.751,123.349,0.2
153.751,123.349,0.2
153.621,123.93,0.2
153.621,123.93,0.2
153.488,124.452,0.2
153.488,124.452,0.2
153.227,125.317,0.2
153.227,125.317,0.2
152.89,126.155,0.2
152.89,126.155,0.2
152.48,126.96,0.2
152.48,126.96,0.2
152.001,127.725,0.2
152.001,127.725,0.2
151.456,128.445,0.2
151.456,128.445,0.2
150.967,128.992,0.2
150.967,128.992,0.2
150.597,129.378,0.2
150.597,129.378,0.2
149.944,130.002,0.2
149.944,130.002,0.2
149.239,130.565,0.2
149.239,130.565,0.2
148.486,131.064,0.2
148.486,131.064,0.2
147.692,131.494,0.2
147.692,131.494,0.2
146.863,131.853,0.2
146.863,131.853,0.2
146.076,132.116,0.2
146.076,132.116,0.2
145.559,132.266,0.2
145.559,132.266,0.2
144.682,132.479,0.2
144.682,132.479,0.2
143.789,132.614,0.2
143.789,132.614,0.2
142.903,132.668,0.2
142.903,132.668,0.2
141.786,132.687,0.2
141.786,132.687,0.2
92.86,132.686,0.2
92.86,132.686,0.2
92.179,132.676,0.2
92.179,132.676,0.2
91.278,132.623,0.2
91.278,132.623,0.2
90.384,132.49,0.2
90.384,132.49,0.2
89.815,132.362,0.2
89.815,132.362,0.2
89.292,132.229,0.2
89.292,132.229,0.2
88.428,131.968,0.2
88.428,131.968,0.2
87.59,131.632,0.2
87.59,131.632,0.2
86.785,131.222,0.2
86.785,131.222,0.2
86.019,130.743,0.2
86.019,130.743,0.2
85.299,130.199,0.2
85.299,130.199,0.2
84.748,129.707,0.2
84.748,129.707,0.2
84.362,129.337,0.2
84.362,129.337,0.2
83.738,128.684,0.2
83.738,128.684,0.2
83.175,127.979,0.2
83.175,127.979,0.2
82.676,127.226,0.2
82.676,127.226,0.2
82.246,126.432,0.2
82.246,126.432,0.2
81.887,125.603,0.2
81.887,125.603,0.2
81.624,124.816,0.2
81.624,124.816,0.2
81.474,124.299,0.2
81.474,124.299,0.2
81.261,123.422,0.2
81.261,123.422,0.2
81.126,122.529,0.2
81.126,122.529,0.2
81.072,121.643,0.2
81.072,121.643,0.2
81.053,120.526,0.2
81.053,120.526,0.2
81.054,114.096,0.2
81.054,114.096,0.2
81.064,113.434,0.2
81.064,113.434,0.2
81.118,112.532,0.2
81.118,112.532,0.2
81.251,111.639,0.2
81.251,111.639,0.2
81.379,111.07,0.2
81.379,111.07,0.2
81.512,110.548,0.2
81.512,110.548,0.2
81.773,109.683,0.2
81.773,109.683,0.2
82.11,108.845,0.2
82.11,108.845,0.2
82.52,108.04,0.2
82.52,108.04,0.2
82.999,107.275,0.2
82.999,107.275,0.2
83.544,106.555,0.2
83.544,106.555,0.2
84.033,106.008,0.2
84.033,106.008,0.2
84.403,105.622,0.2
84.403,105.622,0.2
85.056,104.998,0.2
85.056,104.998,0.2
85.056,104.998,0.2
85.056,104.998,0.2
107.654,111.86,0.2
107.654,111.86,0.2
111.136,116.313,0.2
111.136,116.313,0.2
111.601,116.313,0.2
111.601,116.313,0.2
111.601,116.313,0.2
111.601,116.313,0.2
123.399,116.313,0.2
123.399,116.313,0.2
123.399,118.687,0.2
123.399,118.687,0.2
111.601,118.687,0.2
111.601,118.687,0.2
111.601,116.313,0.2
111.601,116.313,0.2
111.201,115.913,0.2
111.201,115.913,0.2
123.799,115.913,0.2
123.799,115.913,0.2
123.799,119.087,0.2
123.799,119.087,0.2
111.201,119.087,0.2
111.201,119.087,0.2
111.201,115.913,0.2
111.201,115.913,0.2
110.801,115.513,0.2
110.801,115.513,0.2
124.199,115.513,0.2
124.199,115.513,0.2
124.199,119.487,0.2
124.199,119.487,0.2
110.801,119.487,0.2
110.801,119.487,0.2
110.801,115.513,0.2
110.801,115.513,0.2
110.401,115.113,0.2
110.401,115.113,0.2
124.599,115.113,0.2
124.599,115.113,0.2
124.599,119.887,0.2
124.599,119.887,0.2
110.401,119.887,0.2
110.401,119.887,0.2
110.401,115.113,0.2
110.401,115.113,0.2
110.001,114.713,0.2
110.001,114.713,0.2
124.999,114.713,0.2
124.999,114.713,0.2
124.999,120.287,0.2
124.999,120.287,0.2
110.001,120.287,0.2
110.001,120.287,0.2
110.001,114.713,0.2
110.001,114.713,0.2
109.601,114.313,0.2
109.601,114.313,0.2
125.399,114.313,0.2
125.399,114.313,0.2
125.399,120.687,0.2
125.399,120.687,0.2
109.601,120.687,0.2
109.601,120.687,0.2
109.601,114.313,0.2
109.601,114.313,0.2
109.201,113.913,0.2
109.201,113.913,0.2
125.799,113.913,0.2
125.799,113.913,0.2
125.799,121.087,0.2
125.799,121.087,0.2
109.201,121.087,0.2
109.201,121.087,0.2
109.201,113.913,0.2
109.201,113.913,0.2
108.801,113.513,0.2
108.801,113.513,0.2
126.199,113.513,0.2
126.199,113.513,0.2
126.199,121.487,0.2
126.199,121.487,0.2
108.801,121.487,0.2
108.801,121.487,0.2
108.801,113.513,0.2
108.801,113.513,0.2
108.401,113.113,0.2
108.401,113.113,0.2
126.599,113.113,0.2
126.599,113.113,0.2
126.599,121.887,0.2
126.599,121.887,0.2
108.401,121.887,0.2
108.401,121.887,0.2
108.401,113.113,0.2
108.401,113.113,0.2
108.001,112.713,0.2
108.001,112.713,0.2
126.999,112.713,0.2
126.999,112.713,0.2
126.999,122.287,0.2
126.999,122.287,0.2
108.001,122.287,0.2
108.001,122.287,0.2
108.001,112.713,0.2
108.001,112.713,0.2
108.001,112.713,0.2
108.001,112.713,0.2
111.136,116.593,0.2
111.136,116.593,0.2
111.881,116.593,0.2
111.881,116.593,0.2
111.881,116.593,0.2
111.881,116.593,0.2
111.881,118.407,0.2
111.881,118.407,0.2
112.788,118.407,0.2
112.788,118.407,0.2
123.119,118.407,0.2
123.119,118.407,0.2
123.119,116.593,0.2
123.119,116.593,0.2
111.881,116.593,0.2
111.881,116.593,0.2
112.0,116.673,0.2
112.0,116.673,0.2
112.0,118.327,0.2
112.0,118.327,0.2
111.961,118.0,0.2
111.961,118.0,0.2
123.039,118.0,0.2
123.039,118.0,0.2
122.0,118.327,0.2
122.0,118.327,0.2
122.0,116.673,0.2
122.0,116.673,0.2
120.0,116.673,0.2
120.0,116.673,0.2
120.0,118.327,0.2
120.0,118.327,0.2
118.0,118.327,0.2
118.0,118.327,0.2
118.0,116.673,0.2
118.0,116.673,0.2
116.0,116.673,0.2
116.0,116.673,0.2
116.0,118.327,0.2
116.0,118.327,0.2
114.0,118.327,0.2
114.0,118.327,0.2
114.0,116.673,0.2
114.0,116.673,0.2
114.0,116.673,0.2
114.0,116.673,0.2
114.0,115.848,0.2
114.0,115.848,0.2
111.148,115.86,0.2
111.148,115.86,0.2
107.666,116.673,0.2
107.666,116.673,0.2
106.581,116.673,0.2
106.581,116.673,0.2
105.601,121.087,0.2
105.601,121.087,0.2
105.601,121.087,0.2
105.601,121.087,0.2
105.601,115.597,0.2
105.601,115.597,0.2
105.601,113.913,0.2
105.601,113.913,0.2
100.877,113.913,0.2
100.877,113.913,0.2
101.269,114.303,0.2
101.269,114.303,0.2
101.795,114.987,0.2
101.795,114.987,0.2
101.979,115.306,0.2
101.979,115.306,0.2
102.332,116.166,0.2
102.332,116.166,0.2
102.403,116.459,0.2
102.403,116.459,0.2
102.539,117.502,0.2
102.539,117.502,0.2
102.377,118.721,0.2
102.377,118.721,0.2
101.979,119.691,0.2
101.979,119.691,0.2
101.795,120.011,0.2
101.795,120.011,0.2
101.268,120.697,0.2
101.268,120.697,0.2
100.877,121.086,0.2
100.877,121.086,0.2
105.601,121.087,0.2
105.601,121.087,0.2
106.001,121.487,0.2
106.001,121.487,0.2
106.001,115.597,0.2
106.001,115.597,0.2
106.001,113.513,0.2
106.001,113.513,0.2
99.389,113.514,0.2
99.389,113.514,0.2
99.855,113.706,0.2
99.855,113.706,0.2
100.081,113.837,0.2
100.081,113.837,0.2
100.767,114.363,0.2
100.767,114.363,0.2
100.951,114.547,0.2
100.951,114.547,0.2
101.477,115.231,0.2
101.477,115.231,0.2
101.609,115.459,0.2
101.609,115.459,0.2
101.989,116.382,0.2
101.989,116.382,0.2
102.135,117.5,0.2
